ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,Slug Industry Sub-Sector
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","172070","Electrical & electronics engineers",2018,"2018","true","true",5708,1854.8485303276798,95554.23353188507,17051.69530770775,51,"electrical-electronics-engineers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5371XX","Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",2018,"2018","true","true",9172,2351.221041340146,64550.62309201919,17288.865713029543,99,"miscellaneous-material-moving-workers-including-mine-shuttle-car-operators-tank-car-truck-ship-loaders","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5370XX","Conveyor operators & tenders, & hoist & winch operators",2018,"2018","true","true",6986,2052.007304637192,61807.95261952477,20070.706578779118,80,"conveyor-operators-tenders-hoist-winch-operators","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","true","true",1854,1057.1264291591153,38641.399676375404,12315.01838481672,12,"refuse-recyclable-material-collectors","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",100261,7771.325583488891,151838.9504393533,10324.305117688413,1100,"chief-executives-legislators","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537070","Pumping station operators",2018,"2018","true","true",3366,1424.3834716815634,60654.413547237076,11783.370132739206,31,"pumping-station-operators","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","true","true",9175,2351.60550784734,79094.11258855586,15283.039393445119,102,"marketing-managers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","true","true",18313,3322.2163135736773,107556.55354120024,12532.429896134207,177,"sales-managers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112030","Public relations and fundraising managers",2018,"2018","true","true",852,716.6272503512323,52660.83098591549,22690.799678349627,9,"public-relations-and-fundraising-managers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","true","true",7591,2139.0120380564404,45258.958503490976,11849.54432033219,67,"stockers-and-order-fillers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","true","true",1223,858.5907609255859,17775.918233851186,11608.394021070564,8,"packers-packagers-hand","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537062","Laborers & freight, stock, & material movers, hand",2018,"2018","true","true",25269,3902.4026865498136,30454.268154655903,3761.5449199379327,239,"laborers-freight-stock-material-movers-hand","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113012","Administrative services managers",2018,"2018","true","true",1244,865.9307098839438,85648.1503215434,82936.72128503554,16,"administrative-services-managers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
