ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","274030","Television, video, & motion picture camera operators & editors",2018,"2018","true","true",635,618.672338942817,44606.58110236221,28013.106941506496,6,"television-video-motion-picture-camera-operators-editors","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5371XX","Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",2018,"2018","true","true",1728,1020.573101840624,38137.710069444445,17918.051981058,16,"miscellaneous-material-moving-workers-including-mine-shuttle-car-operators-tank-car-truck-ship-loaders","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439XXX","Miscellaneous office & administrative support workers, including desktop publishers",2018,"2018","true","true",45357,5227.945264357827,49419.778226073155,5387.6925104892425,419,"miscellaneous-office-administrative-support-workers-including-desktop-publishers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","true","true",72425,6605.623145442133,102170.08194684156,8805.286932080651,733,"general-operations-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439111","Statistical assistants",2018,"2018","true","true",3482,1448.718762120207,67979.91527857553,19566.711618653964,39,"statistical-assistants","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439081","Proofreaders & copy markers",2018,"2018","true","true",896,734.8986711681133,28984.073660714286,10311.863034028165,9,"proofreaders-copy-markers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439071","Office machine operators, except computer",2018,"2018","true","true",5524,1824.7088156963848,30136.62943519189,4760.3055097268925,54,"office-machine-operators-except-computer","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",176976,10322.258948499612,195455.44800989964,9502.367658384239,1861,"chief-executives-legislators","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439061","Office clerks, general",2018,"2018","true","true",146071,9378.740060451979,34170.463254170914,1583.6022553589896,1387,"office-clerks-general","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","471011","Firstline supervisors of construction trades & extraction workers",2018,"2018","true","true",3600,1473.0611652726839,52818.20805555556,15630.132174716196,31,"firstline-supervisors-of-construction-trades-extraction-workers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112011","Advertising & promotions managers",2018,"2018","true","true",655,628.3396377199589,100123.37099236641,49354.38692290062,6,"advertising-promotions-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439051","Mail clerks & mail machine operators, except postal service",2018,"2018","true","true",8506,2264.2537368627723,30466.076651775216,3433.13848501931,81,"mail-clerks-mail-machine-operators-except-postal-service","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439041","Insurance claims & policy processing clerks",2018,"2018","true","true",160060,9817.107925187554,47334.70136198925,2586.795928648033,1557,"insurance-claims-policy-processing-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","true","true",58261,5924.873602574267,102276.79730866275,10238.235754043828,582,"marketing-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","true","true",30547,4290.566814534006,135468.3717550005,18336.940364357102,332,"sales-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112030","Public relations and fundraising managers",2018,"2018","true","true",4429,1633.883796801526,95254.65725897494,36811.523654598284,42,"public-relations-and-fundraising-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","true","true",332,447.3457526730465,22531.340361445782,26026.31236717109,6,"refuse-recyclable-material-collectors","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439022","Word processors & typists",2018,"2018","true","true",34075,4531.512621091116,35670.36014673514,4477.17359010057,377,"word-processors-typists","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2018,"2018","true","true",50054,5491.88508800057,37188.014903903786,5043.502803802482,474,"data-entry-keyers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472031","Carpenters",2018,"2018","true","true",13673,2870.69336580473,39156.01060484166,4638.0287454758145,119,"carpenters","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436014","Secretaries and administrative assistants, except legal, medical, and executive",2018,"2018","true","true",221003,11533.274156240073,39620.6834115374,1830.971535382707,2335,"secretaries-and-administrative-assistants-except-legal-medical-and-executive","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436012","Legal secretaries and administrative assistants",2018,"2018","true","true",1651,997.5757820272684,57772.917019987886,21958.4215907161,21,"legal-secretaries-and-administrative-assistants","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113012","Administrative services managers",2018,"2018","true","true",2809,1301.2074715609795,85365.81203275187,38083.4629639548,31,"administrative-services-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113013","Facilities managers",2018,"2018","true","true",12683,2764.8229960289596,75499.53851612394,16247.580559646041,132,"facilities-managers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
