ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","271024","Graphic designers",2018,"2018","true","true",27697,4085.553412712413,54701.533054121384,8405.46697684041,265,"graphic-designers","Information","51","information-51","51","Information","information"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439051","Mail clerks & mail machine operators, except postal service",2018,"2018","true","true",2782,1294.9389104523787,31697.116462976275,11059.926764689488,22,"mail-clerks-mail-machine-operators-except-postal-service","Information","51","information-51","51","Information","information"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439022","Word processors & typists",2018,"2018","true","true",6128,1921.8754374975517,36400.11276109661,18004.81217415302,72,"word-processors-typists","Information","51","information-51","51","Information","information"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","true","true",27126,4043.22802968338,103814.81390547813,13100.335432206644,297,"general-operations-managers","Information","51","information-51","51","Information","information"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","true","true",5210,1772.0911351421519,45153.093090211136,14928.676083452268,56,"stockers-and-order-fillers","Information","51","information-51","51","Information","information"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439061","Office clerks, general",2018,"2018","true","true",18937,3378.336006406145,34649.1791202408,5689.8297290059945,188,"office-clerks-general","Information","51","information-51","51","Information","information"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2018,"2018","true","true",21068,3563.328091882706,30022.706996392633,3031.87367032164,203,"data-entry-keyers","Information","51","information-51","51","Information","information"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",36051,4661.020885391903,222257.30176694127,24032.445371460166,382,"chief-executives-legislators","Information","51","information-51","51","Information","information"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","true","true",3241,1397.6858447048264,15261.993829065103,4098.458805082656,31,"packers-packagers-hand","Information","51","information-51","51","Information","information"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436014","Secretaries and administrative assistants, except legal, medical, and executive",2018,"2018","true","true",27037,4036.590896505258,38513.83345045678,4190.416626968589,293,"secretaries-and-administrative-assistants-except-legal-medical-and-executive","Information","51","information-51","51","Information","information"
