ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499052","Telecommunications line installers & repairers",2018,"2018","true","true",644,623.041186586246,24073.641304347828,10754.031823680974,6,"telecommunications-line-installers-repairers","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","559830","Military, rank not specified",2018,"2018","true","true",232689,11833.806372735033,49995.304707141295,2097.9710650046227,2416,"military-rank-not-specified","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",3968,1546.5174585325767,108160.61668346774,18463.138732645275,44,"chief-executives-legislators","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112030","Public relations and fundraising managers",2018,"2018","true","true",1002,777.1541385349365,60780.76546906187,24452.86490117751,11,"public-relations-and-fundraising-managers","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","553010","Military enlisted tactical operations & air/weapons specialists & crew members",2018,"2018","true","true",173166,10210.674107255103,29234.276336001294,1420.0396270376941,1925,"military-enlisted-tactical-operations-airweapons-specialists-crew-members","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","552010","Firstline enlisted military supervisors",2018,"2018","true","true",72583,6612.8210292628555,67315.07308873978,3244.155335318472,750,"firstline-enlisted-military-supervisors","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113012","Administrative services managers",2018,"2018","true","true",1323,893.0026736523797,60852.13529856387,11650.075897731342,13,"administrative-services-managers","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113021","Computer & information systems managers",2018,"2018","true","true",2142,1136.269582075419,63370.59010270775,12164.777831415482,21,"computer-information-systems-managers","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","551010","Military officer special & tactical operations leaders",2018,"2018","true","true",41272,4987.036690062648,72949.34696646637,4394.649085554316,391,"military-officer-special-tactical-operations-leaders","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113031","Financial managers",2018,"2018","true","true",835,709.4418167844466,83088.51616766467,23926.16520277557,10,"financial-managers","Active Duty Military","928110","active-duty-military-928110","928110","Active Duty Military","active-duty-military"
