ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434031","Court, municipal, & license clerks",2018,"2018","true","true",64560,6236.813116322656,41739.55147149938,2257.6009856103396,672,"court-municipal-license-clerks","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5371XX","Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",2018,"2018","true","true",1093,811.6770230050191,44171.030192131744,17978.063462041904,8,"miscellaneous-material-moving-workers-including-mine-shuttle-car-operators-tank-car-truck-ship-loaders","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5370XX","Conveyor operators & tenders, & hoist & winch operators",2018,"2018","true","true",405,494.08501449015205,80152.23456790124,77431.32393611645,5,"conveyor-operators-tenders-hoist-winch-operators","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472211","Sheet metal workers",2018,"2018","true","true",2617,1255.9513553643767,54700.0385938097,6642.410323636657,18,"sheet-metal-workers","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",45275,5223.218811268387,74616.47357261182,8169.070893749294,641,"chief-executives-legislators","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","true","true",2542,1237.8238311051725,30552.80605822187,8558.414588853208,36,"refuse-recyclable-material-collectors","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472152","Plumbers, pipefitters, and steamfitters",2018,"2018","true","true",3614,1475.9226024460709,57342.469839513,8748.668781883998,37,"plumbers-pipefitters-and-steamfitters","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","true","true",2946,1332.5602401878273,63975.287847929394,17052.49214913422,29,"marketing-managers","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","true","true",2807,1300.7441697707893,109279.85358033488,15490.448033250548,25,"sales-managers","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112030","Public relations and fundraising managers",2018,"2018","true","true",9068,2337.8537717464646,84756.07763564182,9095.42643694479,92,"public-relations-and-fundraising-managers","Public Administration","92","public-administration-92","92","Public Administration","public-administration"
