ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","33909X","Lifeguards & other recreational, & all other protective service workers",2018,"2018","true","true",1752,1027.6358932631697,32765.245433789954,9547.654146653455,13,"lifeguards-other-recreational-all-other-protective-service-workers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5371XX","Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",2018,"2018","true","true",2644,1262.4135396955342,22097.661119515884,7582.086543880299,28,"miscellaneous-material-moving-workers-including-mine-shuttle-car-operators-tank-car-truck-ship-loaders","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499098","Helpersinstallation, maintenance, & repair workers ",2018,"2018","true","true",3062,1358.541484054875,34215.25114304376,12372.302570632197,21,"helpersinstallation-maintenance-repair-workers-","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","true","true",130405,8862.013237808795,89595.1227176872,6022.706068753326,1264,"general-operations-managers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","4990XX","Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",2018,"2018","true","true",21006,3558.0817934933602,34397.23555174712,3393.492864434789,205,"miscellaneous-installation-maintenance-repair-workers-including-wind-turbine-service-technicians","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499096","Riggers",2018,"2018","true","true",528,564.1452723597239,36815.331439393936,10095.998099588773,8,"riggers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499091","Coin, vending, & amusement machine servicers & repairers",2018,"2018","true","true",12574,2752.917668257884,40288.380388102436,5214.6665363463,137,"coin-vending-amusement-machine-servicers-repairers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",79335,6913.4036257824,151112.96605533498,13646.564999518463,880,"chief-executives-legislators","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499071","Maintenance & repair workers, general",2018,"2018","true","true",34705,4573.201853089719,40675.99855928541,3030.193145603775,363,"maintenance-repair-workers-general","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","511011","Firstline supervisors of production & operating workers",2018,"2018","true","true",17576,3254.6871652768377,31809.81144742831,3385.7913654901463,153,"firstline-supervisors-of-production-operating-workers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499060","Precision instrument & equipment repairers",2018,"2018","true","true",5056,1745.7053693675068,36199.78401898734,6389.586831477892,54,"precision-instrument-equipment-repairers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112011","Advertising & promotions managers",2018,"2018","true","true",1654,998.4816984398036,61901.209189842804,19361.444901386334,19,"advertising-promotions-managers","Retail Trade","44-45","retail-trade-44-45","44-45","Retail Trade","retail-trade"
