ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","250000","Education, Training, & Library Occupations","2530XX","Other teachers and instructors",2018,"2018","true","true",33992,4525.991575970011,27301.591756883972,3526.2016079533255,363,"other-teachers-and-instructors","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5371XX","Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",2018,"2018","true","true",602,602.3821995065566,27526.99169435216,16204.568813777812,6,"miscellaneous-material-moving-workers-including-mine-shuttle-car-operators-tank-car-truck-ship-loaders","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","true","true",31828,4379.587430619181,67127.84095764735,5961.569425031504,333,"general-operations-managers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","true","true",357,463.8828836110333,12495.148459383754,32525.52834240721,6,"refuse-recyclable-material-collectors","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","414010","Sales representatives, wholesale & manufacturing",2018,"2018","true","true",761,677.2764608895825,63849.07358738502,41152.671084441026,10,"sales-representatives-wholesale-manufacturing","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",60189,6022.0711876115865,132483.7654554819,11375.385199976356,663,"chief-executives-legislators","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","true","true",10914,2564.7845037132647,26552.721183800622,4297.992038336843,93,"stockers-and-order-fillers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","true","true",4923,1722.5923973472904,20867.473491773308,3612.3139041403765,32,"packers-packagers-hand","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419091","Doortodoor sales workers, news & street vendors, & related workers",2018,"2018","true","true",766,679.4977623486475,5123.812010443864,1781.5873897726765,8,"doortodoor-sales-workers-news-street-vendors-related-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112011","Advertising & promotions managers",2018,"2018","true","true",1692,1009.8862995945705,56266.9414893617,22978.419495473998,15,"advertising-promotions-managers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
